Grid_NX,Grid_NY,Particle_Count,Total_Interp_Time_s
250,100,100,0.000000
250,100,10000,0.000000
250,100,1000000,0.058500
250,100,100000000,5.912000
250,100,1000000000,56.000000
500,200,100,0.000000
500,200,10000,0.000000
500,200,1000000,0.081600
500,200,100000000,7.157000
500,200,1000000000,73.100000
1000,400,100,0.000000
1000,400,10000,0.000000
1000,400,1000000,0.068600
1000,400,100000000,7.832000
1000,400,1000000000,78.000000
