Grid_NX,Grid_NY,Num_Threads,Total_Interp_Time_s,Total_Mover_Time_s,Total_Time_s,Mover_Speedup
250,100,1,0.873915,2.421770,3.295685,1.0000
250,100,2,0.757720,1.214931,1.972651,1.9933
250,100,4,0.792370,0.615751,1.408121,3.9330
250,100,8,0.826265,0.325800,1.152065,7.4333
250,100,16,0.971455,0.255784,1.227239,9.4680
500,200,1,0.994000,2.246860,3.240860,1.0000
500,200,2,1.010000,1.133183,2.143183,1.9828
500,200,4,1.006000,0.579759,1.585759,3.8755
500,200,8,1.078380,0.324487,1.402867,6.9244
500,200,16,1.235535,0.255751,1.491286,8.7853
1000,400,1,1.066790,2.270236,3.337026,1.0000
1000,400,2,1.113330,1.139402,2.252732,1.9925
1000,400,4,1.105005,0.588271,1.693276,3.8592
1000,400,8,1.181770,0.354161,1.535931,6.4102
1000,400,16,1.272320,0.246502,1.518822,9.2098
