Grid_NX,Grid_NY,Num_Threads,Total_Interp_Time_s,Total_Mover_Time_s,Total_Time_s,Mover_Speedup
250,100,1,0.377139,0.838431,1.215570,1.0000
250,100,2,0.509737,0.450599,0.960337,1.8607
250,100,4,0.708627,0.240854,0.949480,3.4811
250,100,8,1.217911,0.238342,1.456253,3.5178
250,100,16,0.423986,0.285806,0.709792,2.9336
500,200,1,0.426913,0.871689,1.298602,1.0000
500,200,2,0.510036,0.415346,0.925382,2.0987
500,200,4,0.740239,0.243274,0.983512,3.5832
500,200,8,1.271562,0.258123,1.529686,3.3770
500,200,16,0.424807,0.268585,0.693392,3.2455
1000,400,1,1.394863,0.896378,2.291241,1.0000
1000,400,2,1.642546,0.439400,2.081947,2.0400
1000,400,4,1.857362,0.234317,2.091679,3.8255
1000,400,8,2.376508,0.243293,2.619801,3.6844
1000,400,16,1.494649,0.251064,1.745713,3.5703
